Time(s),Volts
4.58,0.0055
4.59,0.005875
4.59,0.005875
4.60,0.006125
4.60,0.051500000000000004
4.60,0.051500000000000004
4.61,0.006875
4.61,0.006875
4.62,0.007
4.62,0.0075
4.62,0.0075
4.63,0.007875
4.63,0.0085
4.64,0.0085
4.64,0.008625
4.64,0.009000000000000001
4.65,0.009000000000000001
4.65,0.00875
4.66,0.00825
4.66,0.00825
4.66,0.00775
4.67,0.00825
4.67,0.00825
4.68,0.008
4.68,0.008
4.68,0.00875
4.69,0.00725
4.69,0.00725
4.70,-0.000375
4.70,-0.0005
4.70,-0.0005
4.71,-0.000625
4.71,-0.000625
4.72,-0.000375
4.72,-0.000625
4.72,-0.000625
4.73,-0.00025
4.73,-0.000625
4.74,-0.000625
4.74,-0.000375
4.74,-0.0005
4.75,-0.0005
4.75,-0.000375
4.76,-0.000375
4.76,-0.0005
4.76,-0.0005
4.77,-0.0005
4.77,-0.0005
4.78,-0.000625
4.78,-0.000625
4.78,-0.000375
4.79,-0.000375
4.79,-0.0005
4.80,-0.000375
4.80,-0.000375
4.80,-0.000625
4.81,-0.000375
4.81,-0.000375
4.82,-0.000625
4.82,-0.000375
4.82,-0.000375
4.83,-0.0005
4.83,-0.0005
4.84,-0.0005
4.84,-0.0005
4.84,-0.0005
4.85,-0.000625
4.85,-0.0005
4.86,-0.0005
4.86,-0.000625
4.86,-0.0005
4.87,-0.0005
4.87,-0.000625
4.88,-0.00025
4.88,-0.00025
4.88,-0.0005
4.89,-0.000375
4.89,-0.000375
4.90,-0.000625
4.90,-0.000375
4.90,-0.000375
4.91,-0.0005
4.91,-0.0005
4.92,-0.0005
4.92,-0.0005
4.92,-0.0005
4.93,-0.00075
4.93,-0.0005
4.94,-0.0005
4.94,-0.0005
4.94,-0.0005
4.95,-0.0005
4.95,-0.0005
4.96,-0.0005
4.96,-0.0005
4.96,-0.0005
4.97,-0.0005
4.97,-0.0005
4.98,-0.0005
4.98,-0.000625
4.98,-0.0005
4.99,-0.0005
4.99,-0.0005
5.00,-0.0005
5.00,-0.000625
5.00,-0.000625
5.01,-0.000625
5.01,-0.000625
5.02,-0.00075
5.02,-0.00075
5.02,-0.0011250000000000001
5.03,-0.000625
5.03,-0.000625
5.04,-0.000875
5.04,-0.000875
5.04,-0.001375
5.05,-0.000875
5.05,-0.000875
5.06,-0.0011250000000000001
5.06,-0.001875
5.06,-0.001875
5.07,-0.00075
5.07,-0.000875
5.08,-0.000875
5.08,-0.0011250000000000001
5.08,-0.0011250000000000001
5.09,-0.002375
5.09,-0.004
5.10,-0.004
5.10,-0.00525
5.10,-0.006
5.11,-0.006
5.11,-0.00625
5.12,-0.00625
5.12,-0.0063750000000000005
5.12,-0.006625
5.13,-0.006625
5.13,-0.00675
5.14,-0.00675
5.14,-0.005625
5.14,-0.005625
5.15,-0.006
5.15,-0.006
5.16,-0.006875
5.16,-0.0075
5.16,-0.0075
5.17,-0.0075
5.17,-0.007625
5.18,-0.0075
5.18,-0.0075
5.18,-0.0073750000000000005
5.19,-0.00725
5.19,-0.00725
5.20,-0.00675
5.20,-0.0063750000000000005
5.20,-0.0063750000000000005
5.21,-0.004
5.21,-0.004875
5.22,-0.004875
5.22,-0.005
5.22,-0.005
5.23,-0.004875
5.23,-0.004875
5.24,-0.004875
5.24,-0.004875
5.24,-0.00475
5.25,-0.00475
5.25,-0.004875
5.26,-0.004875
5.26,-0.004125
5.26,-0.00475
5.27,-0.00475
5.27,-0.003875
5.28,-0.003875
5.28,-0.00375
5.28,-0.004125
5.29,-0.004125
5.29,-0.004375
5.30,-0.004375
5.30,-0.0045000000000000005
5.30,-0.004375
5.31,-0.004375
5.31,-0.004375
5.32,-0.004375
5.32,-0.004375
